X,Y,OBJECTID,evt_rt,evt_rin,evt_date,location,zone,rucr,rucr_ext_d
-63.661813179,44.6719211930001,331,GO,1106840,2020/11/26 00:00:00,CAMELOT LANE,W5,2142,THEFT FROM VEHICLE
-63.588986419,44.6811685700001,332,GO,1106883,2020/11/26 00:00:00,ALFRED ST,E5,1430,ASSAULT
-63.317261875,44.65226447,333,GO,1106848,2020/11/26 00:00:00,CROWELL RD,TSW,2120,BREAK AND ENTER
-63.1512153039999,44.784612548,334,GO,1106859,2020/11/26 00:00:00,HIGHWAY 7,MUS,2142,THEFT FROM VEHICLE
-63.586768418,44.6808528820001,335,GO,1106967,2020/11/27 00:00:00,PRIMROSE ST / VICTORIA RD,E5,1610,ROBBERY
-63.585127009,44.6521341700001,336,GO,1107088,2020/11/27 00:00:00,CORNWALLIS ST,C4,1430,ASSAULT
-63.584997152,44.656009639,337,GO,1107192,2020/11/27 00:00:00,GERRISH ST,C4,1430,ASSAULT
-63.4277437979999,44.6848514590001,338,GO,1106932,2020/11/26 00:00:00,FLYING POINT RD,LAW,2120,BREAK AND ENTER
-63.527830178,44.688007773,339,GO,1107148,2020/11/27 00:00:00,CHURCHILL CRT,E7,1430,ASSAULT
-63.5903911309999,44.654078864,340,GO,1107608,2020/11/27 00:00:00,ROBERTS ST,C4,2120,BREAK AND ENTER
-63.6940772099999,44.7699720190001,341,GO,1107061,2020/11/27 00:00:00,SACKVILLE DR,SAC,1460,ASSAULT
-63.574388568,44.6471862380001,342,GO,1106963,2020/11/27 00:00:00,BARRINGTON ST,C4,2120,BREAK AND ENTER
-63.573783065,44.6467848780001,343,GO,1107018,2020/11/27 00:00:00,BARRINGTON ST,C4,2120,BREAK AND ENTER
-63.605107887,44.666758228,344,GO,1107463,2020/11/27 00:00:00,NOVALEA DR,C5,2142,THEFT FROM VEHICLE
-63.5968944589999,44.6587425480001,345,GO,1107008,2020/11/27 00:00:00,ALMON ST,C5,2132,THEFT FROM VEHICLE
-63.576083454,44.6820925850001,346,GO,1107442,2020/11/27 00:00:00,RYLAND AVE,E5,2142,THEFT FROM VEHICLE
-63.553374601,44.6775234580001,347,GO,1107021,2020/11/27 00:00:00,CRANSTON AVE,E3,2142,THEFT FROM VEHICLE
-63.592893848,44.6745660190001,348,GO,1107011,2020/11/27 00:00:00,WINDMILL RD,E5,1430,ASSAULT
-63.945171962,44.6615597410001,349,GO,1107465,2020/11/27 00:00:00,ISLAND VIEW DR,HUB,2142,THEFT FROM VEHICLE
-63.570702163,44.689392873,350,GO,1106985,2020/11/27 00:00:00,TUTOR CRT,E5,2142,THEFT FROM VEHICLE
-63.577976645,44.6346888160001,351,GO,1107438,2020/11/27 00:00:00,TOWER RD,C1,2142,THEFT FROM VEHICLE
-63.545304491,44.6734879370001,352,GO,1106986,2020/11/27 00:00:00,COLBURN WALK,E3,2142,THEFT FROM VEHICLE
-63.5478542769999,44.6704022380001,353,GO,1106965,2020/11/27 00:00:00,MOUNTAIN ASH CRT,E3,2142,THEFT FROM VEHICLE
-63.584691092,44.68108757,354,GO,1107096,2020/11/27 00:00:00,JACKSON RD,E5,1430,ASSAULT
-63.709387728,44.790070245,355,GO,1107097,2020/11/27 00:00:00,MILLWOOD DR,SAC,1430,ASSAULT
-63.580318823,44.682820785,356,GO,1107086,2020/11/27 00:00:00,ALBRO LAKE RD,E5,1430,ASSAULT
-63.609299004,44.7061760240001,357,GO,1107037,2020/11/27 00:00:00,AKERLEY BLVD,E6,2120,BREAK AND ENTER
-63.475477106,44.7020409840001,358,GO,1106984,2020/11/27 00:00:00,HIGHWAY 7,FOR,2142,THEFT FROM VEHICLE
-63.632136469,44.652616649,359,GO,1107497,2020/11/28 00:00:00,WESTERWALD ST,W3,2142,THEFT FROM VEHICLE
-63.660981321,44.691281631,360,GO,1107498,2020/11/28 00:00:00,KENT AVE,W5,2142,THEFT FROM VEHICLE
-63.662528113,44.638602506,361,GO,1107532,2020/11/28 00:00:00,CHAIN LAKE DR,W4,2120,BREAK AND ENTER
-63.566268979,44.6817544890001,362,GO,1107462,2020/11/28 00:00:00,LYNGBY AVE,E4,2142,THEFT FROM VEHICLE
